#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Temperature (K)"
2100,-54327.15066116222,9936.554551972076,298.0652991585488
2200,-54125.75392173056,9968.617760941852,299.0270943083235
2300,-54085.30581159156,10086.586470350623,302.565783546868
2400,-53923.09589359281,10024.661975202209,300.7082439867404
2500,-53998.03339359281,10329.361056415364,309.84825547866234
2600,-54164.70643229148,10283.868314707186,308.4836167001131
2700,-53905.66649663175,9999.098873304669,299.94143154942543
2800,-53589.90735851583,9917.958264805842,297.5074691915869
2900,-53544.37506470806,9813.031325284857,294.35999191920513
3000,-53755.75115216279,9977.032027110923,299.2794957569108
